,Page Title,Car Price,Item Condition,Car Location,Image Links,Brand,Mileage,Model,Seat Capacity,Variant,Type,Series,Manufactured Year,Country of Origin,Transmission,Engine CC,Compression Ratio,Peak Power (Bhp),Peak Torque (Nm),Engine Type,Fuel Type,Length(mm),Width(mm),Height(mm),Wheel Base (mm),Kerb Weight (kg),Fuel Tank (litres),Front Brakes,Rear Brakes,Front Suspension,Rear Suspension,Steering,Front Tyres,Rear Tyres,Front Rim(inches),Rear Rim(inches),Loan Monthly Payment,Interest Rate,Features
10, 2012 Mitsubishi TRITON 2.5 L200 4WD (M) REG 2013,    RM 44 800     ,Used,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/15/151929048427034.jpg', 'https://img.rnudah.com/thumbs/15/153929045473672.jpg', 'https://img.rnudah.com/thumbs/15/156929049566948.jpg', 'https://img.rnudah.com/thumbs/15/151929042183543.jpg', 'https://img.rnudah.com/thumbs/15/151929040499708.jpg', 'https://img.rnudah.com/thumbs/15/156929043919450.jpg', 'https://img.rnudah.com/thumbs/15/157929044722597.jpg', 'https://img.rnudah.com/thumbs/15/157929047002425.jpg', 'https://img.rnudah.com/thumbs/15/157929049282253.jpg', 'https://img.rnudah.com/thumbs/15/154929047468805.jpg', 'https://img.rnudah.com/thumbs/15/155929045500275.jpg', 'https://img.rnudah.com/thumbs/15/154929040733465.jpg', 'https://img.rnudah.com/thumbs/15/150929048920017.jpg', 'https://img.rnudah.com/thumbs/15/153929044489974.jpg', 'https://img.rnudah.com/thumbs/15/156929040059931.jpg', 'https://img.rnudah.com/thumbs/15/151929041199845.jpg', 'https://img.rnudah.com/thumbs/15/156929042339759.jpg', 'https://img.rnudah.com/thumbs/15/154929047572949.jpg', 'https://img.rnudah.com/thumbs/15/154929043609286.jpg', 'https://img.rnudah.com/thumbs/15/156929040655924.jpg']",MITSUBISHI   ,  60 000 - 64 999  ,TRITON   ,5 ,LITE ,DUAL CAB PICKUP ,KA4TNJNMR FACELIFT , 2012  ,THAILAND ,5 SP MANUAL,2477 ,21  ,55 ,149 ,DIESEL MPFI ,DIESEL ,1750 ,5215 ,1655 ,3000 ,1590 ,75 ,DV ,DR ,Ind;WB; ,LS; ,RACK &amp; PINION - POWER ASSISTED ,195R 15C 8PR 10 ,195R 15C 8PR 10 ,6Jx15 ,6Jx15 ,RM604/month,3.7,-
11, 2014 Hyundai SANTA FE 2.4 EXECUTIVE PLUS (A),    RM 82 800     ,Used,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/12/128926049907330.jpg', 'https://img.rnudah.com/thumbs/12/124926043327072.jpg', 'https://img.rnudah.com/thumbs/12/123926045399746.jpg', 'https://img.rnudah.com/thumbs/12/122926049156255.jpg', 'https://img.rnudah.com/thumbs/12/121926046669273.jpg', 'https://img.rnudah.com/thumbs/12/126926041565696.jpg', 'https://img.rnudah.com/thumbs/12/125926044830356.jpg', 'https://img.rnudah.com/thumbs/12/124926042343374.jpg', 'https://img.rnudah.com/thumbs/12/125926043146521.jpg', 'https://img.rnudah.com/thumbs/12/126926043949668.jpg', 'https://img.rnudah.com/thumbs/12/120926047162256.jpg', 'https://img.rnudah.com/thumbs/12/125926042058679.jpg', 'https://img.rnudah.com/thumbs/12/123926047291869.jpg', 'https://img.rnudah.com/thumbs/12/126926045141654.jpg', 'https://img.rnudah.com/thumbs/12/122926041437217.jpg', 'https://img.rnudah.com/thumbs/12/121926042317905.jpg', 'https://img.rnudah.com/thumbs/12/126926047525626.jpg', 'https://img.rnudah.com/thumbs/12/127926048328773.jpg', 'https://img.rnudah.com/thumbs/12/122926049468687.jpg', 'https://img.rnudah.com/thumbs/12/124926048795153.jpg']",HYUNDAI   ,  45 000 - 49 999  ,SANTA FE   ,7 ,THETA II EXECUTIVE PLUS ,4D WAGON ,MY2013 , 2014  ,MALAYSIA ,6 SP AUTOMATIC,2359 ,10.5  ,129 ,227 ,MULTI POINT F/INJ ,PETROL ,1880 ,4690 ,1690 ,2700 ,0 ,64 ,DV ,DS ,McSt;ML; ,St;SA; ,RACK &amp; PINION - POWER ASSISTED ,235/55 R19 ,235/55 R19 ,7.5Jx19 ,7.5Jx19 ,RM1 117/month,3.7,-
12, 2013 Nissan NAVARA 2.5 (A) NO OFF ROAD 2W 4x2,   RM 48 800      ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/84/845929037458151.jpg', 'https://img.rnudah.com/thumbs/84/843929034168022.jpg', 'https://img.rnudah.com/thumbs/84/849929033831255.jpg', 'https://img.rnudah.com/thumbs/84/846929032017807.jpg', 'https://img.rnudah.com/thumbs/84/842929031681040.jpg', 'https://img.rnudah.com/thumbs/84/847929032820954.jpg', 'https://img.rnudah.com/thumbs/84/840929036914230.jpg', 'https://img.rnudah.com/thumbs/84/842929033960868.jpg', 'https://img.rnudah.com/thumbs/84/846929036577463.jpg', 'https://img.rnudah.com/thumbs/84/848929033624101.jpg', 'https://img.rnudah.com/thumbs/84/847929037380610.jpg', 'https://img.rnudah.com/thumbs/84/840929032950567.jpg', 'https://img.rnudah.com/thumbs/84/845929033598632.jpg', 'https://img.rnudah.com/thumbs/84/847929030645270.jpg', 'https://img.rnudah.com/thumbs/84/841929033261865.jpg', 'https://img.rnudah.com/thumbs/84/840929030774883.jpg']",NISSAN   ,  70 000 - 74 999  ,NAVARA   ,5 ,CALIBRE ,DUAL CAB PICKUP , -, 2013  ,MALAYSIA ,5 SP AUTOMATIC,2488 ,16.5  ,106 ,356 ,DIESEL TURBO F/INJ ,DIESEL ,1850 ,5230 ,1780 ,3200 ,1895 ,80 ,DV ,DR ,IndDWB;CS;SA;SB; ,ML;SA; ,RACK &amp; PINION - POWER ASSISTED ,255/70 R16 ,255/70 R16 ,7Jx16 ,7Jx16 ,RM591/month,3.7,-
13, 2019 Proton SAGA 1.3 FreeBodyKits SpecialLoanTeam,    RM 27 500     ,New,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/75/752920036040739.jpg', 'https://img.rnudah.com/thumbs/75/751920034149750.jpg', 'https://img.rnudah.com/thumbs/75/753920033476216.jpg', 'https://img.rnudah.com/thumbs/75/752920037232725.jpg', 'https://img.rnudah.com/thumbs/75/753920038035872.jpg', 'https://img.rnudah.com/thumbs/75/758920038192088.jpg', 'https://img.rnudah.com/thumbs/75/759920038995235.jpg', 'https://img.rnudah.com/thumbs/75/757920037984934.jpg', 'https://img.rnudah.com/thumbs/75/754920037363472.jpg', 'https://img.rnudah.com/thumbs/75/758920035836987.jpg', 'https://img.rnudah.com/thumbs/75/756920031950865.jpg', 'https://img.rnudah.com/thumbs/75/751920037650435.jpg', 'https://img.rnudah.com/thumbs/75/751920031406944.jpg']",PROTON   ,  0 - 4 999  ,SAGA   ,5 ,PREMIUM CVT ,4D SEDAN ,MY2016 , 2019  ,MALAYSIA ,CONTINUOUS VARIABLE,1332 ,10  ,70 ,120 ,MULTI POINT F/INJ ,PETROL ,4331 ,1689 ,1491 ,2465 ,1035 ,40 ,DV ,DR ,McSt;SB ,TBA , -,185/55 R15 ,185/55 R15 ,15 ,15 ,RM371/month,3.7,-
14, 2019 Peugeot 308 THP Raya Rezeki,    RM 93 888     ,New,   Penang   ,"['https://img.rnudah.com/thumbs/37/371910027774906.jpg', 'https://img.rnudah.com/thumbs/37/374910024536849.jpg', 'https://img.rnudah.com/thumbs/37/370910020057002.jpg', 'https://img.rnudah.com/thumbs/37/374910024849281.jpg', 'https://img.rnudah.com/thumbs/37/372910029590622.jpg', 'https://img.rnudah.com/thumbs/37/375910024952291.jpg', 'https://img.rnudah.com/thumbs/37/375910029332530.jpg', 'https://img.rnudah.com/thumbs/37/378910027674164.jpg', 'https://img.rnudah.com/thumbs/37/377910020210950.jpg', 'https://img.rnudah.com/thumbs/37/377910022103073.jpg', 'https://img.rnudah.com/thumbs/37/375910027156846.jpg', 'https://img.rnudah.com/thumbs/37/372910025314527.jpg']",PEUGEOT   ,  0 - 4 999  ,308   ,5 ,THP ,4D HATCHBACK ,MY2015 , 2018  ,MALAYSIA ,6 SP AUTOMATIC,1598 ,10.5  ,112 ,240 ,TURBO DIRECT F/INJ ,PETROL ,4253 ,1804 ,1457 ,2620 ,1345 ,60 ,DV ,DS ,McSt ,TB ,RACK &amp; PINION - POWER ASSISTED ,225/40 R18 ,225/40 R18 ,7Jx18 ,7Jx18 ,RM1 266/month,3.7,-
15, 2017 Toyota Avanza 1.5 E FACELIFT (A) F/Service,    RM 52 800     ,Used,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/25/253909056837664.jpg', 'https://img.rnudah.com/thumbs/25/254909055360983.jpg', 'https://img.rnudah.com/thumbs/25/257909050930940.jpg', 'https://img.rnudah.com/thumbs/25/259909058780725.jpg', 'https://img.rnudah.com/thumbs/25/254909051397320.jpg', 'https://img.rnudah.com/thumbs/25/257909055490596.jpg', 'https://img.rnudah.com/thumbs/25/250909059583872.jpg', 'https://img.rnudah.com/thumbs/25/254909053677148.jpg', 'https://img.rnudah.com/thumbs/25/256909050723786.jpg']",TOYOTA   ,  100 000 - 109 999  ,AVANZA   ,7 ,E ,4D WAGON ,F654RM FACELIFT , 2016  ,INDONESIA ,4 SP AUTOMATIC,1496 ,10.1  ,77 ,136 ,ELECTRONIC F/INJ ,PETROL ,1660 ,4190 ,1695 ,2655 ,1135 ,45 ,DV ,DR ,McSt; ,4L;CS; ,RACK &amp; PINION ,185/70 R14 ,185/70 R14 ,6JX14 ,6JX14 ,RM712/month,3.7,-
16, 2011 Perodua MYVI 1.3 SXi PREMIUM (M),    RM 22 500     ,Used,   Kedah   ,"['https://img.rnudah.com/thumbs/25/253909059136065.jpg', 'https://img.rnudah.com/thumbs/25/254909051415893.jpg', 'https://img.rnudah.com/thumbs/25/258909050068825.jpg', 'https://img.rnudah.com/thumbs/25/256909055302015.jpg', 'https://img.rnudah.com/thumbs/25/255909050535205.jpg', 'https://img.rnudah.com/thumbs/25/256909057089994.jpg', 'https://img.rnudah.com/thumbs/25/251909058229908.jpg', 'https://img.rnudah.com/thumbs/25/250909053463098.jpg', 'https://img.rnudah.com/thumbs/25/251909054266245.jpg', 'https://img.rnudah.com/thumbs/25/252909055069392.jpg']",PERODUA   ,  80 000 - 84 999  ,MYVI   ,5 ,SXi PREMIUM ,4D HATCHBACK , -, 2011  ,MALAYSIA ,5 SP MANUAL,1298 ,10  ,64 ,117 ,ELECTRONIC F/INJ ,PETROL ,1665 ,3690 ,1545 ,2440 ,960 ,40 ,DC ,DR ,McSt;CS; ,TB;CS; ,RACK &amp; PINION ,175/65 R14 ,175/65 R14 ,4.5Jx14 ,4.5Jx14 ,RM304/month,3.7,-
17, 2004 Toyota CAMRY 2.0 E (A),    RM 21 800     ,Used,   Perak   ,"['https://img.rnudah.com/thumbs/25/255909057043684.jpg', 'https://img.rnudah.com/thumbs/25/257909056370150.jpg', 'https://img.rnudah.com/thumbs/25/254909054556702.jpg', 'https://img.rnudah.com/thumbs/25/258909054893469.jpg', 'https://img.rnudah.com/thumbs/25/256909051603340.jpg', 'https://img.rnudah.com/thumbs/25/259909055696616.jpg', 'https://img.rnudah.com/thumbs/25/252909051266573.jpg', 'https://img.rnudah.com/thumbs/25/256909053883168.jpg', 'https://img.rnudah.com/thumbs/25/258909050929806.jpg', 'https://img.rnudah.com/thumbs/25/258909059453125.jpg', 'https://img.rnudah.com/thumbs/25/253909050981878.jpg', 'https://img.rnudah.com/thumbs/25/251909055023082.jpg', 'https://img.rnudah.com/thumbs/25/254909050593039.jpg']",TOYOTA   ,  190 000 - 199 999  ,CAMRY   ,5 ,E ,4D SEDAN ,ACV31R-JEPNKE , 2004  ,MALAYSIA ,4 SP AUTOMATIC,1998 ,9.8  ,108 ,190 ,MULTI POINT F/INJ ,PETROL ,1810 ,4825 ,1490 ,2720 ,1410 ,70 ,DV ,DS ,McSt; ,MLS; ,RACK &amp; PINION ,205/65 R15 ,205/65 R15 , -, -,RM294/month,3.7,-
18, 2010 Perodua ALZA 1.5 SXi (M),    RM 28 800     ,Used,   Sarawak   ,"['https://img.rnudah.com/thumbs/25/252909054784789.jpg', 'https://img.rnudah.com/thumbs/25/251909054189930.jpg', 'https://img.rnudah.com/thumbs/25/254909058491494.jpg', 'https://img.rnudah.com/thumbs/25/257909053020011.jpg', 'https://img.rnudah.com/thumbs/25/257909057949841.jpg', 'https://img.rnudah.com/thumbs/25/252909059789892.jpg', 'https://img.rnudah.com/thumbs/25/257909050022515.jpg', 'https://img.rnudah.com/thumbs/25/256909053779024.jpg', 'https://img.rnudah.com/thumbs/25/257909051810494.jpg', 'https://img.rnudah.com/thumbs/25/253909059997046.jpg', 'https://img.rnudah.com/thumbs/25/258909052613641.jpg']",PERODUA   ,  100 000 - 109 999  ,ALZA   ,7 ,SXi ,4D WAGON , -, 2010  ,MALAYSIA ,5 SP MANUAL,1495 ,10  ,76 ,136 ,MULTI POINT F/INJ ,PETROL ,1695 ,4205 ,1620 ,2750 ,1130 ,42 ,DV ,DR ,McSt; ,TB; ,RACK &amp; PINION ,185/55 R15 ,185/55 R15 , -, -,RM388/month,3.7,-
19, Honda CIVIC 1.8(A)I-VTEC Ori Low Mile 2+k km only,    RM 39 800     ,Used,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/25/250909059913835.jpg', 'https://img.rnudah.com/thumbs/25/256909053333577.jpg', 'https://img.rnudah.com/thumbs/25/251909054473491.jpg', 'https://img.rnudah.com/thumbs/25/254909058566767.jpg', 'https://img.rnudah.com/thumbs/25/258909052660043.jpg', 'https://img.rnudah.com/thumbs/25/257909053644875.jpg', 'https://img.rnudah.com/thumbs/25/250909057738151.jpg', 'https://img.rnudah.com/thumbs/25/257909055924703.jpg', 'https://img.rnudah.com/thumbs/25/251909052297807.jpg', 'https://img.rnudah.com/thumbs/25/258909059007678.jpg']",HONDA   ,  20 000 - 24 999  ,CIVIC   ,5 ,S i-VTEC ,4D SEDAN ,FACELIFT , 2009  ,MALAYSIA ,5 SP AUTOMATIC,1799 ,10.5  ,103 ,174 ,MULTI POINT F/INJ ,PETROL ,1755 ,4540 ,1435 ,2700 ,1240 ,50 ,DV ,DS ,McSt; ,IndDWB; ,RACK &amp; PINION - POWER ASSISTED ,205/55 R16 ,205/55 R16 ,6.5Jx16 ,6.5Jx16 ,RM537/month,3.7,-
20, 2009 Perodua Myvi 1.3 SX (M) JagaBaik TIPTOP,    RM 11 800     ,Used,   Selangor   ,"['https://img.rnudah.com/thumbs/25/253909052353281.jpg', 'https://img.rnudah.com/thumbs/25/255909057431389.jpg', 'https://img.rnudah.com/thumbs/25/257909054478027.jpg', 'https://img.rnudah.com/thumbs/25/251909057094622.jpg', 'https://img.rnudah.com/thumbs/25/259909056084321.jpg', 'https://img.rnudah.com/thumbs/25/256909054270873.jpg', 'https://img.rnudah.com/thumbs/25/254909059504063.jpg', 'https://img.rnudah.com/thumbs/25/256909056550701.jpg']",PERODUA   ,  120 000 - 129 999  ,MYVI   ,5 ,SX ,4D HATCHBACK , -, 2008  ,MALAYSIA ,5 SP MANUAL,1298 ,10  ,64 ,116 ,ELECTRONIC F/INJ ,PETROL ,1665 ,3720 ,1550 ,2440 ,930 ,40 ,DC ,DR ,McSt;CS; ,TB;CS; ,RACK &amp; PINION ,175/65 R14 ,175/65 R14 ,4.5Jx14 ,4.5Jx14 ,RM159/month,3.7,-
21, 2013 Peugeot 3008 1.6(A) FULL TURBO SUNROOF FOR U,    RM 30 999     ,Used,   Johor   ,"['https://img.rnudah.com/thumbs/25/256909057013679.jpg', 'https://img.rnudah.com/thumbs/25/259909052583636.jpg', 'https://img.rnudah.com/thumbs/25/255909052246869.jpg', 'https://img.rnudah.com/thumbs/25/258909056340145.jpg', 'https://img.rnudah.com/thumbs/25/250909053386783.jpg', 'https://img.rnudah.com/thumbs/25/256909053050016.jpg', 'https://img.rnudah.com/thumbs/25/259909057143292.jpg', 'https://img.rnudah.com/thumbs/25/252909052713249.jpg', 'https://img.rnudah.com/thumbs/25/254909058283206.jpg', 'https://img.rnudah.com/thumbs/25/257909053853163.jpg', 'https://img.rnudah.com/thumbs/25/258909052376482.jpg', 'https://img.rnudah.com/thumbs/25/259909050899801.jpg', 'https://img.rnudah.com/thumbs/25/252909054993077.jpg', 'https://img.rnudah.com/thumbs/25/256909057609672.jpg', 'https://img.rnudah.com/thumbs/25/257909056132991.jpg', 'https://img.rnudah.com/thumbs/25/251909050226267.jpg', 'https://img.rnudah.com/thumbs/25/255909052842862.jpg', 'https://img.rnudah.com/thumbs/25/254909053827694.jpg', 'https://img.rnudah.com/thumbs/25/256909050874332.jpg']",PEUGEOT   ,  45 000 - 49 999  ,3008   ,5 ,THP ,4D WAGON , -, 2013  ,FRANCE ,6 SP AUTOMATIC TIPTRONIC,1598 ,11  ,114 ,240 ,TWIN TURBO MPFI ,PETROL ,1837 ,4365 ,1635 ,2613 ,1459 ,60 ,DV ,DS ,Ind;McSt;ARB; ,ToB;TA;HyDSA;ARB; ,RACK &amp; PINION - POWER ASSISTED ,205/50 R17 ,205/50 R17 ,7Jx17 ,7Jx17 ,RM418/month,3.7,-
22, 2013 Mercedes Benz E250 AMG 4 CAM FULL LEATHER,   RM 182 000      ,Recon,   Kuala Lumpur   ,"['https://img.rnudah.com/thumbs/95/952909045291760.jpg', 'https://img.rnudah.com/thumbs/95/956909047908355.jpg', 'https://img.rnudah.com/thumbs/95/959909048037968.jpg', 'https://img.rnudah.com/thumbs/95/954909040654563.jpg', 'https://img.rnudah.com/thumbs/95/959909041794477.jpg', 'https://img.rnudah.com/thumbs/95/951909041120943.jpg', 'https://img.rnudah.com/thumbs/95/958909042183316.jpg', 'https://img.rnudah.com/thumbs/95/955909041561854.jpg', 'https://img.rnudah.com/thumbs/95/959909044178449.jpg', 'https://img.rnudah.com/thumbs/95/955909043841682.jpg', 'https://img.rnudah.com/thumbs/95/950909044981596.jpg', 'https://img.rnudah.com/thumbs/95/956909046432808.jpg', 'https://img.rnudah.com/thumbs/95/956909042469145.jpg', 'https://img.rnudah.com/thumbs/95/959909040318930.jpg', 'https://img.rnudah.com/thumbs/95/953909042935525.jpg', 'https://img.rnudah.com/thumbs/95/954909049982163.jpg', 'https://img.rnudah.com/thumbs/95/950909041122077.jpg', 'https://img.rnudah.com/thumbs/95/951909048168715.jpg']",MERCEDES BENZ   ,  10 000 - 14 999  ,E-CLASS   ,5 ,250 CGI BlueEFCY AVANTGRADE(CBU) ,4D SEDAN ,W212 , 2013  ,JAPAN ,7 SP AUTOMATIC TIPSHIFT,1796 ,9.3  ,150 ,310 ,TURBO F/INJ ,PETROL ,4698 ,1768 ,1397 ,2760 ,1650 ,80 ,Ventilated Discs ,Discs ,CS;DGSA ,CS;DGSA , -,245/45 R17 ,245/45 R17 ,8Jx17 ,8Jx17 ,RM2 293/month,3.7,-
